PLAYER,RND,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,KMAX,K,D,A,FK,FD,
matti,238,170.8,0.9,0.7,115.7,0.58,0.33,0.06,0.07,0.22,0.15,21,137,153,79,14,17,
HearthBeat,493,170.8,0.85,0.73,114.9,0.61,0.35,0.07,0.08,0.26,0.08,22,301,355,174,35,40,
ROUSIK,209,170.6,0.71,0.61,112.7,0.57,0.19,0.1,0.09,0.27,0.05,22,120,170,40,21,19,
TiGG,423,170.6,0.78,0.69,113.4,0.57,0.33,0.06,0.11,0.24,0.18,24,241,308,138,25,48,
ROOMPA,417,170.5,0.8,0.67,112.5,0.58,0.28,0.06,0.06,0.26,0.09,25,243,305,116,24,23,
Ames,204,170.4,0.69,0.56,117.9,0.58,0.15,0.11,0.24,0.25,0.09,24,118,171,30,22,49,
supA,407,170.4,0.85,0.69,111.9,0.59,0.3,0.05,0.11,0.28,0.1,19,241,285,122,22,45,
kxtieoh,487,170.3,0.85,0.69,111.1,0.6,0.31,0.05,0.09,0.2,0.17,25,294,344,149,24,42,
Symbol,681,170.2,0.86,0.7,115.7,0.59,0.28,0.05,0.05,0.25,0.12,21,403,470,193,31,32,
mediKa,309,170.2,0.8,0.76,117.3,0.57,0.43,0.03,0.07,0.25,0.14,19,177,221,132,10,23,
BRANTED,460,169.9,0.82,0.69,108.6,0.6,0.33,0.05,0.08,0.22,0.14,19,278,337,152,25,36,
crow,272,169.9,0.89,0.75,113.6,0.58,0.37,0.03,0.04,0.23,0.03,18,159,178,100,8,12,
Nozz,298,169.8,0.8,0.68,110.9,0.57,0.28,0.09,0.12,0.23,0.16,19,171,214,84,26,35,
roxie,620,169.8,0.8,0.72,115.1,0.56,0.43,0.06,0.08,0.35,0.26,22,349,436,267,39,52,
bucher,264,169.6,0.89,0.67,118.8,0.62,0.19,0.06,0.05,0.29,0.02,20,164,184,50,15,14,
ExiA,352,169.3,0.77,0.63,111,0.58,0.29,0.05,0.08,0.3,0.23,20,203,264,102,18,29,
PrimeMCD,435,169.2,0.73,0.66,110.1,0.56,0.29,0.06,0.1,0.2,0.06,23,245,336,127,27,43,
Eeyore,300,169.2,0.72,0.66,110.4,0.55,0.28,0.1,0.12,0.24,0.06,18,166,232,83,29,37,
